Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
321,2.470005173285583e6,3.848331904485369e6,0.0,0.0,0.0,0.0
322,2.466167833285583e6,3.8458993297456144e6,0.0,0.0,0.0,0.0
323,2.4622464932855833e6,3.8424089469582764e6,0.0,0.0,0.0,0.0
324,2.458325153285583e6,3.838918564170938e6,0.0,0.0,0.0,0.0
325,2.4534763132855827e6,3.8357804211186348e6,0.0,0.0,0.0,0.0
326,2.448627473285583e6,3.832642278066332e6,0.0,0.0,0.0,0.0
327,2.443581133285583e6,3.829193885846962e6,0.0,0.0,0.0,0.0
328,2.4385347932855827e6,3.825745493627593e6,0.0,0.0,0.0,0.0
329,2.4353469532855824e6,3.8217348875390105e6,0.0,0.0,0.0,0.0
330,2.4321591132855825e6,3.8177242814504285e6,0.0,0.0,0.0,0.0
331,2.4273442732855827e6,3.816157298758989e6,0.0,0.0,0.0,0.0
332,2.4225294332855823e6,3.81459031606755e6,0.0,0.0,0.0,0.0
333,2.416281593285582e6,3.811752227574501e6,0.0,0.0,0.0,0.0
334,2.410033753285582e6,3.808914139081452e6,0.0,0.0,0.0,0.0
335,2.4059269431268536e6,3.803479894495067e6,0.0,0.0,0.0,0.0
336,2.401820132968125e6,3.7980456499086823e6,0.0,0.0,0.0,0.0
337,2.403250132968125e6,3.792049638563147e6,0.0,0.0,0.0,0.0
338,2.404680132968125e6,3.7860536272176118e6,0.0,0.0,0.0,0.0
339,2.405493632968125e6,3.7799497268918427e6,0.0,0.0,0.0,0.0
